"id","name","start_date","end_date","type","important_events","evaluation_parameters","created_at","updated_at"
"id","student_id","type","title","description","urgency","evidence","suggested_actions","intervention_plan","created_at","updated_at"
"id","title","description","due_date","subject_id","teacher_id","group_id","attachment_path","max_score","status","created_at","updated_at"
"id","student_id","subject_id","date","status","justification_type","justification_document","observations","created_at","updated_at"
"238","9","1","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"239","9","2","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"240","9","3","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"241","9","4","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"242","9","5","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"243","10","1","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"244","10","2","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"245","10","3","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"246","10","4","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"247","10","5","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"248","11","1","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"249","11","2","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"250","11","3","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"251","11","4","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"252","11","5","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"253","12","1","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"254","12","2","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"255","12","3","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"256","12","4","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"257","12","5","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"258","13","1","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"259","13","2","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"260","13","3","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"261","13","4","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"262","13","5","2025-01-15","present",NULL,NULL,"Presente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"263","14","1","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"264","14","2","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"265","14","3","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"266","14","4","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"267","14","5","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"268","15","1","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"269","15","2","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"270","15","3","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"271","15","4","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"272","15","5","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"273","16","1","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
"274","16","2","2025-01-15","absent",NULL,NULL,"Ausente","2025-06-27 00:26:10","2025-06-27 00:26:10"
