"id","student_id","subject_id","evaluation_type","score","promedio_final","puntos_faltantes","date","feedback","teamwork","project","attendance","exam","extra","evaluations","migrado_split","created_at","updated_at","period","opportunity","competencies","observations","evaluation_date","estado","faltantes"
"242","9","1","evaluacion","9.35","9.35",NULL,"2025-01-15",,"9.50","9.50","9.50","9.50","9.50","[{""teamwork"":9.5,""project"":9.5,""attendance"":9.5,""exam"":9.5,""extra"":9.5},{""teamwork"":9,""project"":9,""attendance"":9,""exam"":9,""extra"":9},{""teamwork"":9.2,""project"":9.2,""attendance"":9.2,""exam"":9.2,""extra"":9.2},{""teamwork"":9.7,""project"":9.7,""attendance"":9.7,""exam"":9.7,""extra"":9.7}]","0","2025-06-27 01:25:54","2025-07-05 02:14:21","Primer Semestre","Primera",,,"2025-07-01","Aprobado",NULL
"243","9","2","evaluacion","9.35","9.35",NULL,"2025-01-15",,"9.50","9.50","9.50","9.50","9.50","[{""teamwork"":9.5,""project"":9.5,""attendance"":9.5,""exam"":9.5,""extra"":9.5},{""teamwork"":9,""project"":9,""attendance"":9,""exam"":9,""extra"":9},{""teamwork"":9.2,""project"":9.2,""attendance"":9.2,""exam"":9.2,""extra"":9.2},{""teamwork"":9.7,""project"":9.7,""attendance"":9.7,""exam"":9.7,""extra"":9.7}]","0","2025-06-27 01:25:54","2025-07-05 02:14:21","Primer Semestre","Primera",,,"2025-07-01","Aprobado",NULL
"244","9","3","evaluacion","9.35","9.35",NULL,"2025-01-15",,"9.50","9.50","9.50","9.50","9.50","[{""teamwork"":9.5,""project"":9.5,""attendance"":9.5,""exam"":9.5,""extra"":9.5},{""teamwork"":9,""project"":9,""attendance"":9,""exam"":9,""extra"":9},{""teamwork"":9.2,""project"":9.2,""attendance"":9.2,""exam"":9.2,""extra"":9.2},{""teamwork"":9.7,""project"":9.7,""attendance"":9.7,""exam"":9.7,""extra"":9.7}]","0","2025-06-27 01:25:54","2025-07-05 02:14:21","Primer Semestre","Primera",,,"2025-07-01","Aprobado",NULL
"245","9","4","evaluacion","9.35","9.35",NULL,"2025-01-15",,"9.50","9.50","9.50","9.50","9.50","[{""teamwork"":9.5,""project"":9.5,""attendance"":9.5,""exam"":9.5,""extra"":9.5},{""teamwork"":9,""project"":9,""attendance"":9,""exam"":9,""extra"":9},{""teamwork"":9.2,""project"":9.2,""attendance"":9.2,""exam"":9.2,""extra"":9.2},{""teamwork"":9.7,""project"":9.7,""attendance"":9.7,""exam"":9.7,""extra"":9.7}]","0","2025-06-27 01:25:54","2025-07-05 02:14:21","Primer Semestre","Primera",,,"2025-07-01","Aprobado",NULL
"246","9","5","evaluacion","9.35","9.35",NULL,"2025-01-15",,"9.50","9.50","9.50","9.50","9.50","[{""teamwork"":9.5,""project"":9.5,""attendance"":9.5,""exam"":9.5,""extra"":9.5},{""teamwork"":9,""project"":9,""attendance"":9,""exam"":9,""extra"":9},{""teamwork"":9.2,""project"":9.2,""attendance"":9.2,""exam"":9.2,""extra"":9.2},{""teamwork"":9.7,""project"":9.7,""attendance"":9.7,""exam"":9.7,""extra"":9.7}]","0","2025-06-27 01:25:54","2025-07-05 02:14:21","Primer Semestre","Primera",,,"2025-07-01","Aprobado",NULL
"247","10","1","evaluacion","9.35","9.35",NULL,"2025-01-15",,"9.50","9.50","9.50","9.50","9.50","[{""teamwork"":9.5,""project"":9.5,""attendance"":9.5,""exam"":9.5,""extra"":9.5},{""teamwork"":9,""project"":9,""attendance"":9,""exam"":9,""extra"":9},{""teamwork"":9.2,""project"":9.2,""attendance"":9.2,""exam"":9.2,""extra"":9.2},{""teamwork"":9.7,""project"":9.7,""attendance"":9.7,""exam"":9.7,""extra"":9.7}]","0","2025-06-27 01:25:54","2025-07-05 02:14:21","Primer Semestre","Primera",,,"2025-07-01","Aprobado",NULL
"248","10","2","evaluacion","9.35","9.35",NULL,"2025-01-15",,"9.50","9.50","9.50","9.50","9.50","[{""teamwork"":9.5,""project"":9.5,""attendance"":9.5,""exam"":9.5,""extra"":9.5},{""teamwork"":9,""project"":9,""attendance"":9,""exam"":9,""extra"":9},{""teamwork"":9.2,""project"":9.2,""attendance"":9.2,""exam"":9.2,""extra"":9.2},{""teamwork"":9.7,""project"":9.7,""attendance"":9.7,""exam"":9.7,""extra"":9.7}]","0","2025-06-27 01:25:54","2025-07-05 02:14:21","Primer Semestre","Primera",,,"2025-07-01","Aprobado",NULL
"249","10","3","evaluacion","9.35","9.35",NULL,"2025-01-15",,"9.50","9.50","9.50","9.50","9.50","[{""teamwork"":9.5,""project"":9.5,""attendance"":9.5,""exam"":9.5,""extra"":9.5},{""teamwork"":9,""project"":9,""attendance"":9,""exam"":9,""extra"":9},{""teamwork"":9.2,""project"":9.2,""attendance"":9.2,""exam"":9.2,""extra"":9.2},{""teamwork"":9.7,""project"":9.7,""attendance"":9.7,""exam"":9.7,""extra"":9.7}]","0","2025-06-27 01:25:54","2025-07-05 02:14:21","Primer Semestre","Primera",,,"2025-07-01","Aprobado",NULL
"250","10","4","evaluacion","9.35","9.35",NULL,"2025-01-15",,"9.50","9.50","9.50","9.50","9.50","[{""teamwork"":9.5,""project"":9.5,""attendance"":9.5,""exam"":9.5,""extra"":9.5},{""teamwork"":9,""project"":9,""attendance"":9,""exam"":9,""extra"":9},{""teamwork"":9.2,""project"":9.2,""attendance"":9.2,""exam"":9.2,""extra"":9.2},{""teamwork"":9.7,""project"":9.7,""attendance"":9.7,""exam"":9.7,""extra"":9.7}]","0","2025-06-27 01:25:54","2025-07-05 02:14:21","Primer Semestre","Primera",,,"2025-07-01","Aprobado",NULL
"251","10","5","evaluacion","9.35","9.35",NULL,"2025-01-15",,"9.50","9.50","9.50","9.50","9.50","[{""teamwork"":9.5,""project"":9.5,""attendance"":9.5,""exam"":9.5,""extra"":9.5},{""teamwork"":9,""project"":9,""attendance"":9,""exam"":9,""extra"":9},{""teamwork"":9.2,""project"":9.2,""attendance"":9.2,""exam"":9.2,""extra"":9.2},{""teamwork"":9.7,""project"":9.7,""attendance"":9.7,""exam"":9.7,""extra"":9.7}]","0","2025-06-27 01:25:54","2025-07-05 02:14:21","Primer Semestre","Primera",,,"2025-07-01","Aprobado",NULL
